DevGroup,Module,PrjPath,AssemblyName,BuildStage,IsNeedBuild
SCF,SYS,Src\SYS\RAC\Security\GSPSecuritySPI\GSPSecuritySPI.csproj,Genersoft.Platform.Security.SecuritySPI,20Interface,True
SCF,SYS,Src\SYS\SysBase\SysManager\GSPSecurityManagementSPI\GSPSecurityManagementSPI.csproj,Genersoft.Platform.Security.SecurityManagementSPI,20Interface,True
SCF,SYS,Src\SYS\SysBase\SysManager\GSPSysManagerSPI\GSPSysManagerAPI.csproj,Genersoft.Platform.Security.SysManagerSPI,20Interface,True
SCF,Tools,Src\Tools\50Patch\Src\30PatchInstall\PatchInstallSPI\PatchInstallSPI.csproj,Genersoft.Platform.GSPPatch.PatchInstallSPI,20Interface,True
WF,WF,Src\WF\BizProcess\Inspur.GSP.WF.BusinessProcess.API\Inspur.GSP.WF.BusinessProcess.Api.csproj,Inspur.GSP.WF.BusinessProcess.Api,20Interface,True
WF,WF,Src\WF\DesignTime\GSPWFDesignTimeClientSpi\Inspur.GSP.WF.DesignTime.ClientSpi.csproj,Inspur.GSP.WF.DesignTime.ClientSpi,20Interface,True
WF,WF,Src\WF\DesignTime\GSPWFDesignTimeServerSpi\Inspur.GSP.WF.DesignTime.ServerSpi.csproj,Inspur.GSP.WF.DesignTime.ServerSpi,20Interface,True
WF,WF,Src\WF\Metadata\10WorkflowResource\Inspur.GSP.WF.Resource.csproj,Inspur.GSP.WF.Resource,20Interface,True
WF,WF,Src\WF\Metadata\20WorkflowWFMC\Inspur.GSP.WF.WFMC.csproj,Inspur.GSP.WF.WFMC,20Interface,True
WF,WF,Src\WF\Metadata\40WorkflowCore\Inspur.GSP.WF.Entity.csproj,Inspur.GSP.WF.Entity,20Interface,True
WF,WF,Src\WF\Runtime\30WorkflowExtendAPI\Inspur.GSP.WF.ExtendAPI.csproj,Inspur.GSP.WF.ExtendAPI,20Interface,True
WF,WF,Src\WF\Runtime\60WorkflowClientAPI\Inspur.GSP.WF.Runtime.Api.csproj,Inspur.GSP.WF.Runtime.Api,20Interface,True
WF,WF,Src\WF\Runtime\GSPWFRuntimeClientApi\Inspur.GSP.WF.Runtime.ClientApi.csproj,Inspur.GSP.WF.Runtime.ClientApi,20Interface,True
WF,WF,Src\WF\Runtime\GSPWFRuntimeSPI\Inspur.GSP.WF.Runtime.Spi.csproj,Inspur.GSP.WF.Runtime.Spi,20Interface,True
ADP,CDP,Src\CDP\BizComponent\BasicLib\BizComponentBasicLib.csproj,Inspur.GSP.Cdp.BizComponent.BasicLib,30Component,True
ADP,Form,Src\Form\FormDesignerBase\FormDesignerBase.csproj,Inspur.GSP.Forms.Win.Definition.DesignerBase,40DomainImpl,True
ADP,Form,Src\Form\Web\Engine\Document\Document.csproj,Inspur.GSP.Forms.Web.Engine.Document,30Component,True
ADP,Form,Src\Form\Win\Controller\Controller\FormController.csproj,Inspur.GSP.Forms.Win.Controller,30Component,True
ADP,Form,Src\Form\Win\Controller\V5.2\FormController\FormController.csproj,Genersoft.Platform.XForm.FormController,30Component,True
ADP,Form,Src\Form\Win\Controller\V5.2\FormControllerBiz\FormControllerBiz.csproj,Genersoft.Platform.XForm.FormController.Biz,30Component,True
ADP,Form,Src\Form\Win\Controller\V6.0\FormController\GspFormController.csproj,Genersoft.Platform.XFormController,30Component,True
ADP,Form,Src\Form\Win\Controller\V6.0\Spi\FormControllerSpi.csproj,Genersoft.Platform.XFormController.SPI,30Component,True
ADP,Form,Src\Form\Win\Engine\60Studio.Common\Genersoft.Platform.Studio.Common.csproj,Genersoft.Platform.Studio.Common,30Component,False
ADP,Form,Src\Form\Win\Engine\Engine\FormEngine.csproj,Inspur.GSP.Forms.Win.Engine,30Component,True
ADP,Form,Src\Form\Win\Engine\StyleSolutionUI\StyleSolutionUI.csproj,Inspur.GSP.Forms.Win.Engine.StyleSolutionUI,30Component,True
LCM,LCM,Src\LCM\Ide\Explorer\Explorer.csproj,Inspur.GSP.Lcm.Ide.Explorer,30Component,True
LCM,LCM,Src\LCM\Ide\Studio\Studio.csproj,Inspur.GSP.Lcm.Ide.Studio,30Component,True
LCM,LCM,Src\LCM\Ide\StudioApi\StudioApi.csproj,Inspur.GSP.Lcm.Ide.Api,30Component,True
LCM,LCM,Src\LCM\Ide\VirtualProject\VirtualProject.csproj,Inspur.GSP.Lcm.Ide.VirtualProject,30Component,True
ADP,SVC,Src\SVC\ControlLib\Condition\ConditionControl.csproj,Inspur.GSP.Svc.ControlLib.Condition,30Component,True
ADP,SVC,Src\SVC\ControlLib\Data\DataControl.csproj,Inspur.GSP.Svc.ControlLib.Data,30Component,True
ADP,SVC,Src\SVC\ControlLib\FilterOrder\FilterOrderControl.csproj,Inspur.GSP.Svc.ControlLib.FilterOrder,30Component,True
ADP,SVC,Src\SVC\ControlLib\JsonEditon\JsonEditior.csproj,Inspur.GSP.Svc.ControlLib.JsonEditer,30Component,True
ADP,SVC,Src\SVC\ControlLib\WebExpress\WebExpression.csproj,Inspur.GSP.Svc.ControlLib.WebExpression,30Component,True
ADP,BEF,Src\BEF\Designer\Bef.Designer.csproj,Inspur.GSP.Bef.Designer,40DomainImpl,True
ADP,BEF,Src\BEF\DTClient\Bef.DTClient.csproj,Inspur.GSP.Bef.DTClient,40DomainImpl,True
ADP,BEF,Src\BEF\DTManager\Bef.DTManager.csproj,Inspur.GSP.Bef.DTManager,40DomainImpl,True
ADP,BEF,Src\BEF\Engine\Bef.Engine.csproj,Inspur.GSP.Bef.Engine,40DomainImpl,True
ADP,BEF,Src\BEF\LocalClient\Bef.LocalClient.csproj,Inspur.GSP.Bef.LocalClient,40DomainImpl,True
ADP,BEF,Src\BEF\RTManager\Bef.RTManager.csproj,Inspur.GSP.Bef.RTManager,40DomainImpl,True
ADP,CDP,Src\CDP\BizComponent\BasicServices\BizComponentBasicServices.csproj,Inspur.GSP.Cdp.BizComponent.BasicService,40DomainImpl,True
ADP,CDP,Src\CDP\BizComponent\Engine\BizComponentEngine.csproj,Inspur.GSP.Cdp.BizComponent.Engine,40DomainImpl,True
ADP,CDP,Src\CDP\BizComponent\JSProxy\BizComponentJSProxy.csproj,Inspur.GSP.Cdp.BizComponent.JSProxy,40DomainImpl,True
ADP,CDP,Src\CDP\BizComponent\LocalClient\BizComponentLocalClient.csproj,Inspur.GSP.Cdp.BizComponent.LocalClient,40DomainImpl,True
ADP,CDP,Src\CDP\BizComponent\RemoteClient\BizComponentRemoteClient.csproj,Inspur.GSP.Cdp.BizComponent.RemoteClient,40DomainImpl,True
